id,person_id1,person_id2,amount
1,114-49-3228,830-73-2137,177
2,616-64-4164,711-12-7607,684
3,616-64-4164,506-40-7881,612
4,726-98-9896,604-17-4858,533
5,329-95-9039,418-32-2400,810
6,182-91-9414,182-91-9414,871
7,652-88-6983,316-16-8079,168
8,616-64-4164,280-72-2823,766
9,782-21-0023,816-07-9951,749
100,857-48-4236,736-74-0267,897
101,830-73-2137,395-96-3422,70
102,848-01-9094,897-83-6353,259
103,359-33-2805,542-47-0145,450
104,643-85-8364,484-85-3577,590
105,312-06-7133,665-74-7482,994
106,746-67-6269,276-64-0016,995
107,452-71-0670,722-67-8736,497
108,448-98-4201,665-74-7482,759
109,452-71-0670,533-01-1119,260
110,289-48-9142,745-18-6689,353
201,844-81-0333,211-62-3861,633
202,423-59-5269,751-79-3881,100
203,381-51-7467,542-47-0145,65
204,643-85-8364,897-83-6353,932
205,182-91-9414,811-96-4434,746
206,711-12-7607,848-01-9094,977
207,816-07-9951,533-01-1119,534
208,533-01-1119,307-86-4146,830
209,879-10-1534,178-82-4865,665
210,653-73-2887,350-76-4581,132
301,542-47-0145,114-77-8561,466
302,231-62-0816,884-38-3542,120
303,231-62-0816,746-67-6269,890
304,604-17-4858,137-59-6823,336
305,318-72-3945,711-12-7607,357
306,665-74-7482,363-69-7373,384
307,701-29-0287,329-95-9039,110
308,381-51-7467,811-96-4434,142
309,542-47-0145,751-79-3881,611
310,645-83-0179,811-96-4434,632
401,652-88-6983,230-71-0031,463
402,114-77-8561,554-99-3518,991
403,857-48-4236,776-97-0801,100
404,884-38-3542,722-41-3663,723
405,506-40-7881,500-80-0113,770
406,848-01-9094,500-80-0113,481
407,322-84-0335,652-88-6983,506
408,869-07-9041,751-79-3881,519
409,395-96-3422,604-17-4858,522
410,610-96-4049,700-19-8202,207
501,322-84-0335,776-52-9204,236
502,114-49-3228,711-12-7607,469
503,685-29-3762,127-07-1934,244
504,592-89-3532,230-71-0031,361
505,267-02-2620,147-58-0553,200
506,395-96-3422,448-98-4201,865
507,685-29-3762,381-51-7467,705
508,484-85-3577,230-71-0031,764
509,500-80-0113,737-39-6279,998
510,448-98-4201,473-92-2173,911
601,897-83-6353,542-47-0145,167
602,276-64-0016,869-07-9041,835
603,211-62-3861,182-91-9414,819
604,316-16-8079,665-74-7482,397
605,685-29-3762,312-06-7133,785
606,267-02-2620,577-36-4160,380
607,266-07-5848,395-96-3422,649
608,711-12-7607,381-51-7467,129
609,736-74-0267,652-85-6112,962
610,484-97-3669,653-73-2887,88
701,266-07-5848,665-74-7482,488
702,289-48-9142,857-48-4236,416
703,266-07-5848,363-69-7373,129
704,816-07-9951,737-39-6279,803
705,811-29-1135,665-74-7482,887
706,178-82-4865,722-67-8736,124
707,363-69-7373,230-71-0031,487
708,776-97-0801,701-29-0287,158
709,737-39-6279,685-29-3762,377
710,127-07-1934,452-71-0670,86
801,276-64-0016,726-98-9896,924
802,776-52-9204,231-62-0816,950
803,652-88-6983,505-06-4182,725
804,830-73-2137,133-42-9805,595
805,211-62-3861,114-49-3228,392
806,381-51-7467,816-07-9951,524
807,610-96-4049,316-16-8079,687
808,776-52-9204,133-42-9805,762
809,182-91-9414,577-36-4160,806
810,350-76-4581,147-58-0553,692
901,592-89-3532,542-47-0145,996
902,418-32-2400,652-88-6983,417
903,280-72-2823,884-38-3542,421
904,132-36-8264,722-67-8736,422
905,701-29-0287,147-58-0553,528
906,114-77-8561,329-95-9039,754
907,782-21-0023,280-72-2823,678
908,505-06-4182,423-59-5269,536
909,318-72-3945,554-99-3518,778
910,114-77-8561,194-28-1044,949
